Host,Virus,HostTaxID,VirusTaxID,HostNCBIResolved,VirusNCBIResolved,ICTVRatified,HostGenus,HostFamily,HostOrder,HostClass,HostOriginal,VirusGenus,VirusFamily,VirusOrder,VirusClass,VirusOriginal,HostFlagID,DetectionMethod,DetectionOriginal,Database,DatabaseVersion,PublicationYear,ReferenceText,PMID,ReleaseYear,ReleaseMonth,ReleaseDay,CollectionYear,CollectionMonth,CollectionDay,AssocID,DatabaseDOI,Release_Date,Collection_Date,NCBIAccession
Mops condylurus,predict_cov-106,258863,,TRUE,FALSE,FALSE,Mops,Molossidae,chiroptera,Mammalia,Mops condylurus,betacoronavirus,coronaviridae,nidovirales,,PREDICT_CoV-106,TRUE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2017,8,1,,,,,
Mops condylurus,rousettus bat coronavirus hku9,258863,694006,TRUE,TRUE,FALSE,Mops,Molossidae,chiroptera,Mammalia,Mops condylurus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat coronavirus HKU9,TRUE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2018,8,1,,,,,
Mops plicatus,predict_cov-41,3370289,,TRUE,FALSE,FALSE,Mops,Molossidae,chiroptera,Mammalia,Chaerephon plicatus,betacoronavirus,coronaviridae,nidovirales,,PREDICT_CoV-41,TRUE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2017,6,1,,,,,
Mops pumilus,eidolon bat coronavirus,242384,,TRUE,FALSE,FALSE,Mops,Molossidae,chiroptera,Mammalia,Chaerephon pumilus,betacoronavirus,coronaviridae,nidovirales,,strain of Eidolon bat coronavirus,TRUE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2018,5,1,,,,,
Mops pumilus,eidolon bat coronavirus/kenya/ky24/2006,242384,983924,TRUE,TRUE,FALSE,Mops,Molossidae,chiroptera,Mammalia,Chaerephon pumilus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Eidolon bat coronavirus,TRUE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2013,11,1,,,,,KX285397
Mops pumilus,eidolon bat coronavirus/kenya/ky24/2006,242384,983924,TRUE,TRUE,FALSE,Mops,Molossidae,chiroptera,Mammalia,Chaerephon pumilus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Eidolon bat coronavirus,TRUE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2013,4,1,,,,,KX285353
Myonycteris torquata,predict_cov-66,77243,,TRUE,FALSE,FALSE,Myonycteris,Pteropodidae,chiroptera,Mammalia,Myonycteris torquata,betacoronavirus,coronaviridae,nidovirales,,PREDICT_CoV-66,TRUE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2015,10,1,,,,,
Myotis pilosus,coronavirus predict cov-57,203696,2042581,TRUE,TRUE,FALSE,Myotis,Vespertilionidae,chiroptera,Mammalia,Myotis ricketti,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-57,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2013,7,1,,,,,KX285219
Neoromicia somalicus,eidolon bat coronavirus,258944,,TRUE,FALSE,FALSE,Neoromicia,Vespertilionidae,chiroptera,Mammalia,Neoromicia somalicus,betacoronavirus,coronaviridae,nidovirales,,strain of Eidolon bat coronavirus,TRUE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2018,5,1,,,,,
Nyctinomops laticaudatus,coronavirus mex_cov-9,27627,1289555,TRUE,TRUE,FALSE,Nyctinomops,Molossidae,chiroptera,Mammalia,Nyctinomops laticaudatus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-9,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2010,8,1,,,,,KC117195
Pipistrellus coromandra,coronavirus predict cov-34,258946,2042559,TRUE,TRUE,FALSE,Pipistrellus,Vespertilionidae,chiroptera,Mammalia,Pipistrellus coromandra,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-34,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2013,2,1,,,,,KX285763
Pipistrellus hesperidus,middle east respiratory syndrome-related coronavirus,294653,1335626,TRUE,TRUE,FALSE,Pipistrellus,Vespertilionidae,chiroptera,Mammalia,Pipistrellus hesperidus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,MERS-like Coronovirus,TRUE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2013,2,1,,,,,"KX285225, "
Pipistrellus pipistrellus,coronavirus predict cov-57,59474,2042581,TRUE,TRUE,FALSE,Pipistrellus,Vespertilionidae,chiroptera,Mammalia,Pipistrellus pipistrellus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-57,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2013,7,1,,,,,"KX285209, KX285207, KX285208"
Pipistrellus pipistrellus,pipistrellus bat coronavirus hku5,59474,694008,TRUE,TRUE,FALSE,Pipistrellus,Vespertilionidae,chiroptera,Mammalia,Pipistrellus pipistrellus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat coronavirus HKU5,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2013,7,1,,,,,"KX285197, KX285199, KX285200"
Pteronotus parnellii,coronavirus mex_cov-10,59476,1289545,TRUE,TRUE,FALSE,Pteronotus,Mormoopidae,chiroptera,Mammalia,Pteronotus parnellii,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-10,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2010,11,1,,,,,KC117198
Pteronotus parnellii,coronavirus predict cov-10,59476,2042537,TRUE,TRUE,FALSE,Pteronotus,Mormoopidae,chiroptera,Mammalia,Pteronotus parnellii,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-10,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2012,12,1,,,,,"KX285801, KX285799, KX285800"
Pteronotus personatus,coronavirus mex_cov-11b,118856,1289556,TRUE,TRUE,FALSE,Pteronotus,Mormoopidae,chiroptera,Mammalia,Pteronotus personatus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-11,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2010,11,1,,,,,KC117200
Pteropus alecto,betacoronavirus 1,9402,694003,TRUE,TRUE,FALSE,Pteropus,Pteropodidae,chiroptera,Mammalia,Pteropus alecto,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Betacoronavirus 1 (bat),FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2013,8,1,,,,,KX285045
Pteropus alecto,coronavirus predict cov-67,9402,2042591,TRUE,TRUE,FALSE,Pteropus,Pteropodidae,chiroptera,Mammalia,Pteropus alecto,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-67,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2013,8,1,,,,,"KX285038, KX285039, KX285042"
Pteropus alecto,coronavirus predict cov-68,9402,2042592,TRUE,TRUE,FALSE,Pteropus,Pteropodidae,chiroptera,Mammalia,Pteropus alecto,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-68,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2013,8,1,,,,,"KX285040, KX285041, KX285043, KX285044, KX285046"
Pteropus alecto,predict_cov-16,9402,,TRUE,FALSE,FALSE,Pteropus,Pteropodidae,chiroptera,Mammalia,Pteropus alecto,betacoronavirus,coronaviridae,nidovirales,,predict_cov-16,FALSE,PCR/Sequencing,PREDICT,PREDICT,June282021PCRTests,,,,2021,8,28,2016,9,17,,,,,MT064816
Pteropus alecto,predict_cov-16,9402,,TRUE,FALSE,FALSE,Pteropus,Pteropodidae,chiroptera,Mammalia,Pteropus alecto,betacoronavirus,coronaviridae,nidovirales,,predict_cov-16,FALSE,PCR/Sequencing,PREDICT,PREDICT,June282021PCRTests,,,,2021,8,28,2016,9,2,,,,,MT064810
Pteropus alecto,predict_cov-16,9402,,TRUE,FALSE,FALSE,Pteropus,Pteropodidae,chiroptera,Mammalia,Pteropus alecto,betacoronavirus,coronaviridae,nidovirales,,predict_cov-16,FALSE,PCR/Sequencing,PREDICT,PREDICT,June282021PCRTests,,,,2021,8,28,2016,9,4,,,,,"MT064811, MT064812"
Pteropus alecto,predict_cov-16,9402,,TRUE,FALSE,FALSE,Pteropus,Pteropodidae,chiroptera,Mammalia,Pteropus alecto,betacoronavirus,coronaviridae,nidovirales,,predict_cov-16,FALSE,PCR/Sequencing,PREDICT,PREDICT,June282021PCRTests,,,,2021,8,28,2016,9,5,,,,,"MT064813, MT064814, MT064815"
Pteropus alecto,predict_cov-16,9402,,TRUE,FALSE,FALSE,Pteropus,Pteropodidae,chiroptera,Mammalia,Pteropus alecto,betacoronavirus,coronaviridae,nidovirales,,predict_cov-16,FALSE,PCR/Sequencing,PREDICT,PREDICT,June282021PCRTests,,,,2021,8,28,2017,2,21,,,,,"MT064667, MT064668"
Pteropus alecto,predict_cov-16,9402,,TRUE,FALSE,FALSE,Pteropus,Pteropodidae,chiroptera,Mammalia,Pteropus alecto,betacoronavirus,coronaviridae,nidovirales,,predict_cov-16,FALSE,PCR/Sequencing,PREDICT,PREDICT,June282021PCRTests,,,,2021,8,28,2017,7,23,,,,,MT064714
Pteropus alecto,predict_cov-16,9402,,TRUE,FALSE,FALSE,Pteropus,Pteropodidae,chiroptera,Mammalia,Pteropus alecto,betacoronavirus,coronaviridae,nidovirales,,predict_cov-16,FALSE,PCR/Sequencing,PREDICT,PREDICT,June282021PCRTests,,,,2021,8,28,2017,7,29,,,,,MT064713
Pteropus alecto,predict_cov-16,9402,,TRUE,FALSE,FALSE,Pteropus,Pteropodidae,chiroptera,Mammalia,Pteropus alecto,betacoronavirus,coronaviridae,nidovirales,,predict_cov-16,FALSE,PCR/Sequencing,PREDICT,PREDICT,June282021PCRTests,,,,2021,8,28,2017,7,30,,,,,"MT064712, MT064711"
Pteropus alecto,predict_cov-16,9402,,TRUE,FALSE,FALSE,Pteropus,Pteropodidae,chiroptera,Mammalia,Pteropus alecto,betacoronavirus,coronaviridae,nidovirales,,predict_cov-16,FALSE,PCR/Sequencing,PREDICT,PREDICT,June282021PCRTests,,,,2021,8,28,2017,7,31,,,,,MT064710
Pteropus alecto,predict_cov-16,9402,,TRUE,FALSE,FALSE,Pteropus,Pteropodidae,chiroptera,Mammalia,Pteropus alecto,betacoronavirus,coronaviridae,nidovirales,,predict_cov-16,FALSE,PCR/Sequencing,PREDICT,PREDICT,June282021PCRTests,,,,2021,8,28,2018,1,16,,,,,MT064737
Pteropus alecto,predict_cov-16,9402,,TRUE,FALSE,FALSE,Pteropus,Pteropodidae,chiroptera,Mammalia,Pteropus alecto,betacoronavirus,coronaviridae,nidovirales,,predict_cov-16,FALSE,PCR/Sequencing,PREDICT,PREDICT,June282021PCRTests,,,,2021,8,28,2018,7,14,,,,,MT064738
Pteropus alecto,predict_cov-73,9402,,TRUE,FALSE,FALSE,Pteropus,Pteropodidae,chiroptera,Mammalia,Pteropus alecto,betacoronavirus,coronaviridae,nidovirales,,predict_cov-73,FALSE,PCR/Sequencing,PREDICT,PREDICT,June282021PCRTests,,,,2021,8,28,2016,12,18,,,,,MT083144
Pteropus alecto,predict_cov-83,9402,,TRUE,FALSE,FALSE,Pteropus,Pteropodidae,chiroptera,Mammalia,Pteropus alecto,betacoronavirus,coronaviridae,nidovirales,,predict_cov-83,FALSE,PCR/Sequencing,PREDICT,PREDICT,June282021PCRTests,,,,2021,8,28,2017,2,21,,,,,"MT083197, MT083162"
Pteropus alecto,rousettus bat coronavirus hku9,9402,694006,TRUE,TRUE,FALSE,Pteropus,Pteropodidae,chiroptera,Mammalia,Pteropus alecto,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,bat coronavirus hku9,FALSE,PCR/Sequencing,PREDICT,PREDICT,June282021PCRTests,,,,2021,8,28,2016,12,28,,,,,MT083146
Pteropus conspicillatus,predict_cov-67,328804,,TRUE,FALSE,FALSE,Pteropus,Pteropodidae,chiroptera,Mammalia,Pteropus conspicillatus,betacoronavirus,coronaviridae,nidovirales,,predict_cov-67,FALSE,PCR/Sequencing,PREDICT,PREDICT,June282021PCRTests,,,,2021,8,28,2018,1,17,,,,,"MT083195, MT083193, MT083196"
Pteropus conspicillatus,predict_cov-67,328804,,TRUE,FALSE,FALSE,Pteropus,Pteropodidae,chiroptera,Mammalia,Pteropus conspicillatus,betacoronavirus,coronaviridae,nidovirales,,predict_cov-67,FALSE,PCR/Sequencing,PREDICT,PREDICT,June282021PCRTests,,,,2021,8,28,2018,7,6,,,,,MT083187
Pteropus lylei,predict_cov-16,166054,,TRUE,FALSE,FALSE,Pteropus,Pteropodidae,chiroptera,Mammalia,Pteropus lylei,betacoronavirus,coronaviridae,nidovirales,,PREDICT_CoV-16,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2016,11,1,,,,,
Pteropus vampyrus,betacoronavirus 1,132908,694003,TRUE,TRUE,FALSE,Pteropus,Pteropodidae,chiroptera,Mammalia,Pteropus giganteus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Betacoronavirus 1 (bat),FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2009,12,1,,,,,KC692414
Pteropus vampyrus,coronavirus pgcov-1,132908,1403203,TRUE,TRUE,FALSE,Pteropus,Pteropodidae,chiroptera,Mammalia,Pteropus giganteus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-16,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2009,12,1,,,,,KC692415
Pteropus vampyrus,coronavirus pgcov-2,132908,1403204,TRUE,TRUE,FALSE,Pteropus,Pteropodidae,chiroptera,Mammalia,Pteropus giganteus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-17,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2006,1,1,,,,,KC692416
Pteropus vampyrus,coronavirus predict cov-17,132908,2042543,TRUE,TRUE,FALSE,Pteropus,Pteropodidae,chiroptera,Mammalia,Pteropus giganteus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-17,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2013,9,1,,,,,"KX284941, KX284942, KX286016"
Pteropus vampyrus,predict_cov-16,132908,,TRUE,FALSE,FALSE,Pteropus,Pteropodidae,chiroptera,Mammalia,Pteropus giganteus,betacoronavirus,coronaviridae,nidovirales,,PREDICT_CoV-16,TRUE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2017,11,1,,,,,
Rhinolophus affinis,sars-related betacoronavirus rsshc014,59477,,TRUE,FALSE,FALSE,Rhinolophus,Rhinolophidae,chiroptera,Mammalia,Rhinolophus affinis,betacoronavirus,coronaviridae,nidovirales,,strain of SARS-related betacoronavirus RsSHC014,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2016,5,1,,,,,
Rhinolophus affinis,severe acute respiratory syndrome-related coronavirus,59477,694009,TRUE,TRUE,FALSE,Rhinolophus,Rhinolophidae,chiroptera,Mammalia,Rhinolophus affinis,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of SARS-related betacoronavirus Rp3/2004,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2016,5,1,,,,,
Rhinolophus clivosus,coronavirus predict cov-43,59478,2042569,TRUE,TRUE,FALSE,Rhinolophus,Rhinolophidae,chiroptera,Mammalia,Rhinolophus clivosus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-43,TRUE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2013,5,1,,,,,"KX285821, KX285808, KX285811, KX285813, KX285814, KX285815, KX285816"
Rhinolophus clivosus,coronavirus predict cov-44,59478,2042570,TRUE,TRUE,FALSE,Rhinolophus,Rhinolophidae,chiroptera,Mammalia,Rhinolophus clivosus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-43,TRUE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2013,5,1,,,,,KX285810
Rhinolophus creaghi,coronavirus predict cov-51,178895,2042575,TRUE,TRUE,FALSE,Rhinolophus,Rhinolophidae,chiroptera,Mammalia,Rhinolophus creaghi,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-51,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2012,12,1,,,,,KX286261
Rhinolophus creaghi,predict_cov-105,178895,,TRUE,FALSE,FALSE,Rhinolophus,Rhinolophidae,chiroptera,Mammalia,Rhinolophus creaghi,betacoronavirus,coronaviridae,nidovirales,,PREDICT_CoV-105,TRUE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2018,10,1,,,,,
Rhinolophus euryale,bat coronavirus bm48-31/bgr/2008,109476,864596,TRUE,TRUE,FALSE,Rhinolophus,Rhinolophidae,chiroptera,Mammalia,Rhinolophus euryale,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat Coronavirus BM48-31/BGR/2008,TRUE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2017,8,1,,,,,
Rhinolophus euryale,rousettus bat coronavirus hku9,109476,694006,TRUE,TRUE,FALSE,Rhinolophus,Rhinolophidae,chiroptera,Mammalia,Rhinolophus euryale,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat coronavirus HKU9,TRUE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2018,1,1,,,,,
Rhinolophus ferrumequinum,severe acute respiratory syndrome-related coronavirus,59479,694009,TRUE,TRUE,FALSE,Rhinolophus,Rhinolophidae,chiroptera,Mammalia,Rhinolophus ferrumequinum,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of SARS-related betacoronavirus Rp3/2004,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2013,2,1,,,,,KX285156
Rhinolophus mehelyi,bat coronavirus bm48-31/bgr/2008,342862,864596,TRUE,TRUE,FALSE,Rhinolophus,Rhinolophidae,chiroptera,Mammalia,Rhinolophus mehelyi,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat Coronavirus BM48-31/BGR/2008,TRUE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2017,8,1,,,,,
Rhinolophus sinicus,bat coronavirus bm48-31/bgr/2008,89399,864596,TRUE,TRUE,FALSE,Rhinolophus,Rhinolophidae,chiroptera,Mammalia,Rhinolophus sinicus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat Coronavirus BM48-31/BGR/2008,TRUE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2018,1,1,,,,,
Rhinolophus sinicus,rousettus bat coronavirus gccdc1/346/356,89399,,TRUE,FALSE,FALSE,Rhinolophus,Rhinolophidae,chiroptera,Mammalia,Rhinolophus sinicus,betacoronavirus,coronaviridae,nidovirales,,Rousettus Bat Coronavirus GCCDC1/346/356,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2017,8,1,,,,,
Rhinolophus sinicus,severe acute respiratory syndrome-related coronavirus,89399,694009,TRUE,TRUE,FALSE,Rhinolophus,Rhinolophidae,chiroptera,Mammalia,Rhinolophus sinicus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,SARS-related bat coronavirus RsSHC014,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2011,4,1,,,,,KX285134
Rhinolophus sinicus,severe acute respiratory syndrome-related coronavirus,89399,694009,TRUE,TRUE,FALSE,Rhinolophus,Rhinolophidae,chiroptera,Mammalia,Rhinolophus sinicus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of SARS-related bat coronavirus HKU3,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2011,4,1,,,,,KX285125
Rhinolophus sinicus,severe acute respiratory syndrome-related coronavirus,89399,694009,TRUE,TRUE,FALSE,Rhinolophus,Rhinolophidae,chiroptera,Mammalia,Rhinolophus sinicus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of SARS-related betacoronavirus Rp3/2004,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2013,6,1,,,,,"KX285180, KX285181, KX285182"
Rhinolophus sinicus,severe acute respiratory syndrome-related coronavirus,89399,694009,TRUE,TRUE,FALSE,Rhinolophus,Rhinolophidae,chiroptera,Mammalia,Rhinolophus sinicus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of SARS-related betacoronavirus Rp3/2004,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2013,7,1,,,,,KX285220
Rhinolophus sinicus,severe acute respiratory syndrome-related coronavirus,89399,694009,TRUE,TRUE,FALSE,Rhinolophus,Rhinolophidae,chiroptera,Mammalia,Rhinolophus sinicus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of SARS-related betacoronavirus Rp3/2004,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2017,8,1,,,,,
Rhinolophus thomasi,severe acute respiratory syndrome-related coronavirus,476589,694009,TRUE,TRUE,FALSE,Rhinolophus,Rhinolophidae,chiroptera,Mammalia,Rhinolophus thomasi,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of SARS-related betacoronavirus Rp3/2004,TRUE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2018,7,1,,,,,
Rhinopoma hardwickii,bat coronavirus bm48-31/bgr/2008,124756,864596,TRUE,TRUE,FALSE,Rhinopoma,Rhinopomatidae,chiroptera,Mammalia,Rhinopoma hardwickii,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat Coronavirus BM48-31/BGR/2008,TRUE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2017,9,1,,,,,
Rhinopoma hardwickii,eidolon bat coronavirus,124756,,TRUE,FALSE,FALSE,Rhinopoma,Rhinopomatidae,chiroptera,Mammalia,Rhinopoma hardwickii,betacoronavirus,coronaviridae,nidovirales,,strain of Eidolon bat coronavirus,TRUE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2018,8,1,,,,,
Rhinopoma hardwickii,rousettus bat coronavirus hku9,124756,694006,TRUE,TRUE,FALSE,Rhinopoma,Rhinopomatidae,chiroptera,Mammalia,Rhinopoma hardwickii,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat coronavirus HKU9,TRUE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2017,8,1,,,,,
Rousettus aegyptiacus,bat coronavirus bm48-31/bgr/2008,9407,864596,TRUE,TRUE,FALSE,Rousettus,Pteropodidae,chiroptera,Mammalia,Rousettus aegyptiacus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat Coronavirus BM48-31/BGR/2008,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2018,4,1,,,,,
Rousettus aegyptiacus,bat coronavirus hipposideros,9407,,TRUE,FALSE,FALSE,Rousettus,Pteropodidae,chiroptera,Mammalia,Rousettus aegyptiacus,betacoronavirus,coronaviridae,nidovirales,,strain of Bat coronavirus Hipposideros,TRUE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2018,9,1,,,,,
Rousettus aegyptiacus,coronavirus predict cov-30,9407,2042556,TRUE,TRUE,FALSE,Rousettus,Pteropodidae,chiroptera,Mammalia,Rousettus aegyptiacus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PREDICT_CoV-30,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2010,6,1,,,,,"KX284949, KX284950"
Rousettus aegyptiacus,eidolon bat coronavirus/kenya/ky24/2006,9407,983924,TRUE,TRUE,FALSE,Rousettus,Pteropodidae,chiroptera,Mammalia,Rousettus aegyptiacus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Eidolon bat coronavirus,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2013,1,1,,,,,KX284960
Rousettus aegyptiacus,kenya bat coronavirus/btky56/btky55,9407,2042604,TRUE,TRUE,FALSE,Rousettus,Pteropodidae,chiroptera,Mammalia,Rousettus aegyptiacus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Kenya bat coronavirus/BtKY56/BtKY55,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2013,5,1,,,,,"KX285427, KX285428, KX285429, KX285818, KX285819, KX285829"
Rousettus aegyptiacus,rousettus bat coronavirus hku9,9407,694006,TRUE,TRUE,FALSE,Rousettus,Pteropodidae,chiroptera,Mammalia,Rousettus aegyptiacus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat coronavirus HKU9,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2013,1,1,,,,,KX284959
Rousettus aegyptiacus,rousettus bat coronavirus hku9,9407,694006,TRUE,TRUE,FALSE,Rousettus,Pteropodidae,chiroptera,Mammalia,Rousettus aegyptiacus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat coronavirus HKU9,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2013,5,1,,,,,"KX285425, KX286259"
Rousettus aegyptiacus,rousettus bat coronavirus hku9,9407,694006,TRUE,TRUE,FALSE,Rousettus,Pteropodidae,chiroptera,Mammalia,Rousettus aegyptiacus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat coronavirus HKU9,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2017,12,1,,,,,
Rousettus aegyptiacus,rousettus bat coronavirus hku9,9407,694006,TRUE,TRUE,FALSE,Rousettus,Pteropodidae,chiroptera,Mammalia,Rousettus aegyptiacus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat coronavirus HKU9,TRUE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2013,5,1,,,,,KX285424
